YEAR,LINE,PLOT,SPEC,FIASP,HT1,HT2,HT3,HT4
2007,N,1,7,316,0,7,2,2
2007,N,6,7,316,3,0,0,0
2007,N,11,7,316,3,3,0,1
2007,N,16,5,833,1,0,0,0
2007,N,16,7,316,3,3,0,0
2007,N,21,7,316,3,1,0,0
2007,N,21,8,371,2,2,0,0
2007,N,26,1,129,1,0,0,0
2007,N,26,7,316,1,0,0,0
2007,N,31,1,129,0,1,0,0
2007,N,31,7,316,8,3,0,0
2007,N,31,9,375,3,0,0,0
2007,N,36,0,0,0,0,0,0
2007,N,41,7,316,2,0,0,0
2007,N,41,25,585,1,0,0,0
2007,N,46,7,316,1,0,0,0
2007,N,51,5,833,1,0,0,0
2007,N,51,7,316,1,0,0,0
2007,N,56,7,316,2,0,0,0
2007,N,60,0,0,0,0,0,0
2007,N,66,0,0,0,0,0,0
2007,N,71,7,316,1,0,0,0
2007,N,71,25,585,3,0,0,0
2007,N,76,4,261,1,0,0,0
2007,N,81,1,129,1,0,0,0
2007,N,81,7,316,2,0,0,0
2007,N,86,1,129,0,0,2,0
2007,N,86,3,12,0,0,2,0
2007,N,86,7,316,1,1,0,0
2007,N,91,7,316,7,0,0,0
2007,N,91,8,371,0,1,0,0
2007,N,96,1,129,0,2,0,0
2007,N,101,1,129,2,0,0,0
2007,N,106,3,12,1,0,0,0
2007,N,111,1,129,4,0,0,0
2007,N,111,7,316,3,0,0,0
2007,N,116,1,129,1,0,0,0
2007,N,116,3,12,1,0,0,0
2007,N,116,7,316,5,0,0,0
2007,N,121,1,129,4,0,0,0
2007,N,121,2,97,1,0,0,0
2007,N,121,7,316,4,0,0,0
2007,N,126,1,129,4,1,0,0
2007,N,126,2,97,1,0,0,0
2007,N,126,7,316,2,0,0,0
2007,N,131,7,316,1,0,0,0
2007,N,136,0,999,0,0,0,0
2007,N,141,1,129,1,3,0,0
2007,N,141,2,97,1,0,0,0
2007,N,141,7,316,2,0,0,0
2007,N,146,1,129,2,0,0,0
2007,N,151,1,129,4,0,0,0
2007,N,151,3,12,4,0,0,0
2007,N,151,7,316,5,0,0,0
2007,N,156,1,129,3,0,0,0
2007,N,156,3,12,5,0,0,0
2007,N,156,7,316,3,0,0,0
2007,N,161,1,129,3,0,0,0
2007,N,166,1,129,1,0,0,0
2007,N,166,2,97,0,1,0,0
2007,N,171,1,129,1,0,0,0
2007,N,171,2,97,0,1,0,0
2007,N,171,3,12,1,0,0,0
2007,N,176,0,999,0,0,0,0
2007,N,181,1,129,6,0,0,0
2007,N,181,3,12,1,0,0,0
2007,N,186,1,129,3,0,0,0
2007,N,186,3,12,2,0,0,0
2007,N,191,1,129,9,0,0,0
2007,N,191,2,97,0,1,0,0
2007,N,191,3,12,2,0,0,0
2007,N,196,1,129,3,3,0,0
2007,N,201,0,999,0,0,0,0
2007,N,206,1,129,3,0,0,0
2007,N,211,7,316,1,0,0,0
2007,N,216,7,316,3,1,0,0
2007,N,221,0,999,0,0,0,0
2007,N,226,1,129,2,0,0,0
2007,N,226,2,97,1,1,0,0
2007,N,226,3,12,3,0,0,0
2007,N,226,4,261,1,0,0,0
2007,N,226,7,316,2,0,0,0
2007,N,231,2,97,1,0,0,0
2007,N,236,1,129,7,2,0,0
2007,N,236,4,261,4,0,0,0
2007,N,236,5,833,1,0,0,0
2007,N,236,7,316,2,0,0,0
2007,N,241,1,129,5,1,0,0
2007,N,241,4,261,10,2,0,0
2007,N,241,7,316,0,7,0,0
2007,N,246,1,129,1,2,0,0
2007,N,246,4,261,0,1,0,0
2007,N,246,7,316,1,1,0,0
2007,N,246,8,371,0,1,0,0
2007,N,251,1,129,0,2,0,0
2007,N,251,7,316,3,4,0,0
2007,N,256,1,129,1,0,0,0
2007,N,256,4,261,10,0,0,0
2007,N,256,4,261,0,1,0,0
2007,N,256,7,316,6,0,0,0
