YEAR,LINE,PLOT,SPEC,FIASP,HT1,HT2,HT3,HT4
1986,N,1,7,316,19,35,5,0
1986,N,1,7.1,316,0,2,1,0
1986,N,1,12,541,0,1,1,0
1986,N,2,5,833,0,1,0,0
1986,N,2,7,316,21,41,2,0
1986,N,2,7.1,316,0,2,1,0
1986,N,3,7,316,12,26,4,1
1986,N,3,9,375,0,3,0,0
1986,N,3,17,660,3,0,0,0
1986,N,4,5,833,0,2,0,0
1986,N,4,6,802,0,2,0,0
1986,N,4,7,316,13,21,1,0
1986,N,4,12,541,0,0,1,0
1986,N,4,17,660,0,1,0,0
1986,N,5,5,833,2,1,1,1
1986,N,5,7,316,24,8,3,0
1986,N,5,17,660,0,1,0,0
1986,N,6,1,129,0,1,0,0
1986,N,6,5,833,0,3,0,0
1986,N,6,7,316,27,6,0,0
1986,N,7,3,12,1,0,0,0
1986,N,7,7,316,19,9,0,0
1986,N,7,17,660,0,1,3,0
1986,N,8,3,12,1,0,0,0
1986,N,8,7,316,29,4,0,0
1986,N,8,12,541,0,1,0,0
1986,N,8,15,746,0,0,1,0
1986,N,8,16,762,0,1,1,0
1986,N,8,17,660,1,1,0,0
1986,N,9,1,129,1,0,0,0
1986,N,9,3,12,3,0,0,0
1986,N,9,5,833,0,0,1,0
1986,N,9,7,316,31,6,1,0
1986,N,9,9,375,1,0,0,0
1986,N,10,1,129,0,1,0,0
1986,N,10,3,12,2,0,0,0
1986,N,10,7,316,23,4,1,0
1986,N,10,16,762,0,2,0,0
1986,N,11,1,129,1,0,0,0
1986,N,11,7,316,11,1,1,0
1986,N,11,9,375,0,1,0,0
1986,N,11,16,762,0,1,0,0
1986,N,12,7,316,7,6,1,0
1986,N,13,3,12,1,0,0,0
1986,N,13,7,316,3,4,0,0
1986,N,13,10,379,0,0,2,0
1986,N,13,14,743,0,0,1,0
1986,N,14,5,833,0,0,0,1
1986,N,14,7,316,2,5,4,0
1986,N,15,7,316,5,3,0,0
1986,N,15,12,541,0,1,0,0
1986,N,15,16,762,0,1,0,0
1986,N,16,7,316,12,3,0,0
1986,N,17,7,316,4,0,0,0
1986,N,17,12,541,0,1,0,0
1986,N,18,1,129,1,0,0,0
1986,N,18,3,12,1,0,0,0
1986,N,18,5,833,0,2,0,0
1986,N,18,7,316,5,0,1,0
1986,N,18,12,541,0,1,0,0
1986,N,18,15,746,0,2,0,0
1986,N,19,5,833,0,0,1,0
1986,N,19,7,316,3,2,0,0
1986,N,19,15,746,0,1,0,0
1986,N,19,16,762,1,0,0,0
1986,N,20,1,129,3,2,0,0
1986,N,20,4,261,1,0,0,0
1986,N,20,7,316,4,2,0,0
1986,N,20,12,541,0,2,0,0
1986,N,20,15,746,1,2,3,0
1986,N,20,16,762,0,1,0,0
1986,N,21,3,12,1,0,0,0
1986,N,21,5,833,0,1,0,0
1986,N,21,6,802,0,1,0,0
1986,N,21,7,316,0,1,0,0
1986,N,21,12,541,0,8,0,0
1986,N,22,1,129,1,2,0,0
1986,N,22,5,833,0,1,0,0
1986,N,22,7,316,2,7,1,0
1986,N,22,12,541,1,6,0,0
1986,N,22,15,746,0,1,2,0
1986,N,23,1,129,2,0,0,0
1986,N,23,7,316,0,0,1,0
1986,N,23,12,541,0,3,0,0
1986,N,23,15,746,0,2,0,0
1986,N,24,1,129,1,1,0,0
1986,N,24,7,316,1,0,0,0
1986,N,24,9,375,1,0,0,0
1986,N,24,15,746,1,2,1,0
1986,N,24,16,762,1,0,0,0
1986,N,25,5,833,1,6,0,0
1986,N,25,7,316,3,2,0,0
1986,N,25,15,746,0,1,0,0
1986,N,26,7,316,1,1,0,0
1986,N,26,12,541,1,1,1,0
1986,N,26,15,746,0,1,0,0
1986,N,27,7,316,1,3,1,0
1986,N,27,12,541,0,1,1,0
1986,N,27,15,746,0,1,3,0
1986,N,27,16,762,1,0,0,0
1986,N,28,5,833,1,1,0,0
1986,N,28,6,802,0,1,0,0
1986,N,28,7,316,1,2,1,0
1986,N,28,12,541,0,1,1,0
1986,N,28,15,746,0,0,3,0
1986,N,28,16,762,2,1,0,0
1986,N,29,1,129,0,1,0,0
1986,N,29,7,316,1,2,0,0
1986,N,29,12,541,0,0,1,0
1986,N,29,15,746,0,0,3,0
1986,N,30,7,316,2,2,1,0
1986,N,30,12,541,0,1,0,0
1986,N,30,16,762,1,1,0,0
1986,N,31,5,833,0,2,0,0
1986,N,31,6,802,1,0,0,0
1986,N,31,7,316,2,3,0,0
1986,N,31,12,541,0,1,0,0
1986,N,31,15,746,0,1,0,0
1986,N,32,7,316,1,0,0,0
1986,N,32,15,746,0,2,0,0
1986,N,33,5,833,0,1,0,0
