YEAR,QUAD,SPEC,FIASP,COND,SZ2,SZ3,SZ4,SZ5,SZ6,SZ7,SZ8,SZ9
1984,4D1,1,129,1,1,0,1,1,0,1,3,0
1984,4D1,8,371,0,0,0,0,0,1,0,0,1
1984,4D1,9,375,1,0,0,0,0,0,0,1,0
1984,4D1,16,762,1,0,0,0,0,1,1,0,0
1984,4D1,12,541,0,0,0,1,1,2,0,2,3
1984,4D1,1,129,0,2,0,1,1,1,1,1,0
1984,4D1,3,012,0,0,1,0,3,1,0,0,0
1984,4D1,5,833,0,0,0,0,0,0,0,1,0
1984,4D1,9,375,0,0,0,0,1,0,0,0,0
1984,4D1,5,833,1,0,0,0,0,0,1,1,0
1984,4D1,12,541,1,0,0,1,1,0,1,0,0
1984,4D2,3,012,0,9,4,1,2,0,0,0,1
1984,4D2,8,371,0,1,0,4,1,0,3,1,1
1984,4D2,7,316,0,0,2,1,0,0,0,0,0
1984,4D2,12,541,0,1,0,0,0,1,0,0,0
1984,4D2,1,129,1,0,0,0,0,0,1,0,0
1984,4D2,26,350,0,1,0,0,0,0,0,0,0
1984,4D3,7,316,0,2,1,0,0,1,0,0,1
1984,4D3,9,375,0,0,1,0,0,0,0,0,0
1984,4D3,12,541,1,2,0,2,0,0,0,0,0
1984,4D3,7,316,1,1,0,0,0,0,0,0,1
1984,4D3,3,012,0,0,0,0,0,0,0,1,0
1984,4D3,8,371,0,0,0,2,2,1,1,0,0
1984,4D4,3,012,0,11,6,6,2,1,0,6,5
1984,4D4,5,833,0,0,0,0,1,1,1,0,0
1984,4D4,7,316,0,0,0,2,0,0,2,0,0
1984,4D4,8,371,0,0,0,0,1,0,0,1,0
1984,4D4,3,012,1,0,1,2,0,1,0,1,0
1984,4D4,10,379,1,0,0,0,0,0,0,0,1
1984,4D4,6,802,0,0,0,1,0,0,0,0,0
1984,5D1,3,012,0,22,14,9,7,1,0,2,0
1984,5D1,3,012,1,1,0,0,0,0,0,0,0
1984,5D1,7,316,0,1,0,0,0,1,1,0,0
1984,5D1,5,833,0,0,0,1,1,0,0,1,0
1984,5D1,7,316,1,1,0,0,0,1,0,0,0
1984,5D1,12,541,0,0,0,0,0,0,0,0,1
1984,5D2,7,316,0,2,1,0,0,1,0,1,1
1984,5D2,12,541,0,2,0,0,0,0,0,0,0
1984,5D2,7,316,1,0,0,0,1,0,0,0,0
1984,5D2,3,012,0,1,0,0,0,0,0,0,0
1984,5D2,1,129,0,1,0,0,0,0,0,0,0
1984,5D3,3,012,0,6,3,4,3,0,0,0,0
