YEAR,TRAN,PLOT,SPEC,FIASP,DAM,SZ0,SZ1,SZ2,SZ3,SZ4,SZ5,SZ6,SZ7,SZ8,SZ9
2002,H36,3,25,585,0,3,1,0,1,0,0,0,0,0,0
2002,H36,3,3,012,0,4,0,0,0,0,0,1,0,0,0
2002,H36,3,1,129,0,2,0,0,0,0,0,0,0,0,0
2002,H36,4,1,129,0,5,0,0,0,0,0,0,0,0,0
2002,H36,4,7.1,316,0,22,0,0,0,0,0,0,0,0,0
2002,H36,4,25,585,1,3,1,1,0,0,0,0,0,0,0
2002,H36,4,25,585,3,1,0,0,0,0,0,0,0,0,0
2002,H42,2,3,012,0,1,0,0,0,1,0,0,1,0,0
2002,H55,1,25,585,0,4,0,1,0,0,0,0,0,0,0
2002,H55,1,2,097,0,2,0,0,0,0,0,0,0,0,0
2002,H55,1,25,585,2,1,0,0,0,0,0,0,0,0,0
2002,H55,1,3,012,0,1,0,0,0,0,0,0,0,0,0
2002,C31,1,7,316,0,0,0,1,0,0,0,0,0,0,0
2002,C31,1,2,097,0,0,0,0,0,0,0,0,0,0,2
2002,C31,1,3,012,0,3,0,1,0,0,1,1,0,0,1
2002,C31,2,3,012,0,0,0,0,1,0,0,0,0,0,0
2002,C31,2,7,316,0,0,0,0,0,0,0,0,1,0,0
2002,C54,1,3,012,0,3,0,3,2,0,0,0,0,0,0
2002,C54,1,4,261,0,0,0,0,1,2,0,0,0,0,0
2002,C54,1,2,097,0,1,0,0,0,0,0,0,0,0,0
2002,C54,6,8,371,0,0,0,0,0,0,1,0,0,0,0
2002,C54,6,4,261,0,0,0,0,0,0,0,1,0,0,0
2002,C54,6,25,585,0,4,0,1,0,0,0,0,0,0,0
2002,C54,4,3,012,0,0,0,0,0,0,0,1,0,0,0
2002,C54,4,2,097,0,0,0,0,0,1,1,0,0,0,0
2002,C54,4,25,585,0,2,1,1,1,1,0,0,0,0,0
2002,C54,4,1,129,0,1,0,0,0,0,0,0,0,0,0
2002,C54,5,4,261,0,0,0,0,0,0,0,1,0,0,0
2002,C54,5,3,012,0,3,0,0,0,0,1,0,0,1,0
2002,C55,1,0,000,0,0,0,0,0,0,0,0,0,0,0
2002,C55,2,8,371,0,0,0,0,0,0,0,0,0,1,0
2002,C55,5,4,261,0,1,0,0,0,0,0,0,0,0,0
2002,C55,5,5,833,0,0,1,1,0,0,0,0,0,1,0
2002,C55,5,7,316,0,0,0,0,1,0,0,0,0,0,0
2002,H24,6,8,371,2,2,0,0,0,0,0,0,0,0,0
2002,H24,6,6,802,1,1,0,0,0,0,0,0,0,0,0
2002,H24,6,7,316,1,0,0,1,0,1,0,1,0,0,0
2002,H24,6,4,261,0,0,0,0,1,0,0,0,0,0,0
2002,H24,6,3,012,0,1,0,0,0,0,0,0,0,0,0
2002,H24,6,1,129,0,0,0,0,1,0,0,0,0,0,0
2002,H24,6,1,129,1,0,0,1,0,0,0,0,0,0,0
2002,H24,3,12,541,3,2,0,0,0,0,0,0,0,0,0
2002,H24,3,1,129,0,5,0,0,0,0,0,0,0,0,0
2002,H24,3,3,012,0,1,0,4,0,0,0,0,0,0,0
2002,H24,2,6,802,2,1,0,0,0,0,0,0,0,0,0
2002,H24,2,1,129,1,2,0,0,1,0,0,0,0,0,0
2002,H24,2,5,833,1,1,0,0,0,0,0,0,0,0,0
2002,H24,2,8,371,0,1,0,0,0,0,0,0,0,0,0
2002,H24,2,1,129,0,3,0,1,0,1,0,0,0,0,0
2002,H24,2,3,012,0,0,0,0,0,0,0,0,1,0,0
2002,H23,1,1,129,0,2,0,0,0,0,0,0,0,0,0
2002,H23,1,7,316,1,1,0,1,0,2,0,0,0,0,0
2002,H23,1,8,371,2,2,0,0,0,0,0,0,0,0,0
2002,H23,2,5,833,0,0,0,0,0,0,0,0,1,0,0
2002,H23,2,5.1,833,3,3,0,0,0,0,0,0,0,0,0
2002,H23,2,4,261,0,0,0,0,0,0,0,1,0,0,0
2002,H23,2,12,541,2,1,0,0,0,0,0,0,0,0,0
2002,H23,2,1,129,1,1,0,0,0,0,0,0,0,0,0
2002,H23,4,5,833,3,2,0,0,0,0,0,0,0,0,0
2002,H23,4,8,371,2,1,0,1,0,0,0,0,0,0,0
2002,H23,4,1,129,0,1,0,0,0,0,0,0,0,0,0
2002,H23,4,4,261,0,1,1,0,1,0,1,1,0,0,0
2002,H23,4,12,541,0,0,1,0,0,0,0,0,0,0,0
2002,H23,4,8,371,3,1,0,0,0,0,0,0,0,0,0
2002,H23,4,7,316,1,1,0,0,0,0,0,0,0,0,0
