YEAR,TRAN,PLOT,SPEC,FIASP,DAM,SZ0,SZ1,SZ2,SZ3,SZ4,SZ5,SZ6,SZ7,SZ8,SZ9
2010,H01,1,1,129,0,39,0,1,0,1,0,0,0,0,0
2010,H01,1,1,129,1,2,0,0,0,0,0,0,0,0,0
2010,H01,1,4,261,0,0,0,1,0,0,0,0,0,0,0
2010,H01,1,2,097,0,11,0,0,0,0,0,0,0,0,0
2010,H01,1,3,012,0,3,0,2,0,1,0,0,0,0,0
2010,H01,5,1,129,0,11,0,0,0,0,0,0,0,0,0
2010,H01,5,4,261,2,1,0,0,0,0,0,0,0,0,0
2010,H01,5,25,585,0,2,0,0,4,1,1,1,0,0,0
2010,H01,5,3,012,0,2,0,0,2,0,0,0,0,0,0
2010,H01,5,25,585,2,5,0,0,0,0,0,0,0,0,0
2010,H01,6,3,012,0,5,0,3,3,1,0,0,0,0,0
2010,H01,6,2,097,0,1,0,0,0,0,0,0,0,0,0
2010,H01,6,25,585,0,0,0,2,3,0,0,0,0,0,0
2010,H01,6,4,261,0,0,0,0,1,0,0,0,0,0,0
2010,H02,1,1,129,0,46,0,1,0,1,0,0,0,0,0
2010,H02,1,4,261,0,0,0,1,0,0,0,0,0,0,0
2010,H02,1,1,129,1,2,0,0,0,0,0,0,0,0,0
2010,H02,1,2,097,0,11,0,0,0,0,0,0,0,0,0
2010,H02,1,3,012,0,3,0,2,0,1,0,0,0,0,0
2010,H02,4,1,129,0,9,0,0,0,0,0,0,0,0,0
2010,H02,4,3,012,0,1,0,0,0,0,0,0,0,1,0
2010,H02,4,2,097,0,0,0,1,0,0,0,0,0,0,0
2010,H02,4,4,261,2,1,0,0,0,0,0,0,0,0,0
2010,H02,4,25,585,0,0,0,2,2,0,1,0,0,0,0
2010,H02,4,25,585,2,1,0,0,0,0,0,0,0,0,0
2010,H02,3,1,129,1,1,0,0,0,0,0,0,0,0,0
2010,H02,3,3,012,0,4,0,0,2,0,0,1,1,0,0
2010,H02,3,1,129,0,1,0,0,0,0,0,0,0,0,0
2010,H02,3,2,097,0,1,0,0,0,0,0,0,0,0,0
2010,H02,3,25,585,0,1,0,1,0,0,2,0,0,0,0
2010,H02,3,25,585,2,3,0,0,0,0,0,0,0,0,0
2010,H55,1,1,129,0,3,0,0,0,0,0,0,0,0,0
2010,H55,1,2,097,0,12,0,0,0,0,0,0,0,0,0
2010,H55,1,4,261,1,1,0,0,0,0,0,0,0,0,0
2010,H55,1,25,585,0,0,0,2,1,0,0,0,0,0,0
2010,H55,1,25,585,2,1,0,0,0,0,0,0,0,0,0
2010,H55,1,3,012,0,0,0,0,0,1,0,0,0,0,0
2010,H35,6,1,129,0,2,0,0,0,0,0,0,0,0,0
2010,H35,6,2,097,0,3,0,0,0,0,0,0,0,0,0
2010,H35,6,7,316,0,0,0,2,0,0,0,0,0,0,0
2010,H35,6,4,261,0,2,0,0,0,0,0,0,0,0,0
2010,H35,4,2,097,0,4,0,0,0,0,0,0,0,0,0
2010,H35,4,1,129,0,2,0,0,0,0,0,0,0,0,0
2010,H35,5,1,129,0,1,0,0,1,0,0,0,0,0,0
2010,H35,5,10,379,3,2,0,0,0,0,0,0,0,0,0
2010,H35,5,7,316,0,0,0,1,0,0,0,0,0,0,0
2010,H35,5,7,316,1,1,0,0,0,0,0,0,0,0,0
2010,H35,5,7,316,3,2,0,0,0,0,0,0,0,0,0
2010,H35,5,2,097,0,2,0,0,0,0,0,0,0,0,0
2010,H04,1,1,129,0,2,0,1,0,0,1,0,1,0,0
2010,H04,1,1,129,1,0,0,1,0,0,0,1,1,0,0
2010,H04,1,2,097,0,1,0,0,0,0,0,0,0,0,0
2010,H04,1,4,261,0,1,0,0,0,0,0,0,0,0,0
2010,H04,1,3,012,0,2,0,0,0,0,0,0,0,0,0
2010,H04,2,1,129,0,0,0,1,0,0,0,0,0,0,0
2010,H04,2,1,129,1,1,0,0,1,0,0,1,0,1,1
2010,H04,4,1,129,0,2,0,0,0,0,0,0,1,0,0
2010,H04,4,1,129,2,0,0,0,0,0,0,0,1,0,0
2010,H04,4,10,379,0,0,0,0,0,0,1,1,0,0,0
2010,H04,6,1,129,0,4,0,2,0,1,0,0,1,0,0
2010,H04,6,2,097,0,2,0,0,0,0,1,0,0,0,0
2010,H04,6,3,012,0,3,0,0,2,0,0,0,0,0,0
2010,H03,1,1,129,0,1,0,2,0,0,1,0,1,0,0
2010,H03,1,2,097,0,0,0,0,1,0,0,0,1,0,0
2010,H03,1,3,012,0,0,0,0,1,0,0,0,0,0,0
2010,H03,3,1,129,0,3,0,0,0,0,0,0,0,0,0
2010,H03,3,10,379,0,0,0,0,0,1,0,3,0,0,0
2010,H03,3,10,379,3,1,0,0,0,0,0,0,0,0,0
2010,H03,3,3,012,0,0,0,0,0,0,1,1,0,0,0
2010,H03,3,1,129,1,0,0,0,0,0,0,0,2,0,0
2010,H03,6,1,129,0,4,0,0,0,0,0,0,0,0,0
2010,H03,6,2,097,0,1,0,0,0,0,0,0,0,0,0
2010,H03,6,10,379,3,1,0,0,0,0,0,0,0,0,0
2010,H03,6,10,379,0,0,0,0,0,0,1,2,0,0,0
2010,H42,2,3,012,0,4,0,1,0,0,1,0,0,1,0
2010,H42,2,4,261,0,1,0,0,0,0,0,0,0,0,0
2010,H36,3,3,012,1,4,0,0,0,0,0,0,0,0,0
2010,H36,3,3,012,0,0,0,0,0,0,0,0,0,1,0
2010,H36,3,25,585,0,0,0,3,0,0,0,0,0,0,0
2010,H36,3,2,097,0,1,0,0,0,0,0,0,0,0,0
2010,H36,3,1,129,0,3,0,0,0,0,0,0,0,0,0
2010,H36,3,25,585,2,1,0,0,0,0,0,0,0,0,0
2010,H36,4,3,012,0,2,0,0,0,2,0,1,2,0,0
2010,H36,4,25,585,3,1,0,0,0,0,0,0,0,0,0
2010,H36,4,25,585,0,0,0,4,4,1,0,0,0,0,0
2010,T08,2,3,012,0,3,0,0,0,0,0,0,0,1,0
2010,T08,2,2,097,0,0,0,0,0,0,1,0,0,0,0
2010,C31,1,3,012,0,0,0,0,2,0,1,0,0,0,1
2010,C31,1,2,097,0,0,0,0,0,0,0,0,0,0,1
2010,C31,3,3,012,0,0,0,0,0,0,1,0,0,0,0
2010,C31,3,2,097,0,0,0,1,0,0,0,0,0,0,0
2010,C31,3,7,316,0,0,0,0,0,0,1,0,0,0,0
2010,C31,5,3,012,0,2,0,0,0,0,0,0,0,1,0
