YEAR,GAP,PLOT,SPEC,FIASP,HT1,HT2,HT3,HT4
1997,4I2A,1,1,129,5,0,0,0
1997,4I2A,3,7,316,2,0,0,0
1997,4I2A,3,1,129,8,0,0,0
1997,4I2A,4,1,129,1,0,0,0
1997,5J1D,1,1,129,1,0,4,0
1997,5J1D,1,7,316,0,1,2,0
1997,5J1D,1,25,585,0,1,3,2
1997,5J1D,2,1,129,0,2,0,0
1997,5J1D,2,25,585,0,0,1,0
1997,5J1D,2,7,316,0,4,0,0
1997,5J1D,3,5,833,0,1,0,0
1997,5J1D,3,7,316,0,1,0,0
1997,5J1D,4,1,129,1,2,3,0
1997,5J1D,4,25,585,0,1,0,0
1997,5J1D,4,7,316,0,2,0,0
1997,3G4D,1,9,375,0,5,0,0
1997,3G4D,1,1,129,39,4,0,0
1997,3G4D,1,8,371,4,1,0,0
1997,3G4D,1,4,261,1,1,0,0
1997,3G4D,2,8,371,0,3,1,0
1997,3G4D,2,5,833,1,2,0,0
1997,3G4D,2,1,129,17,4,1,0
1997,3G4D,2,9,375,2,7,1,0
1997,3G4D,2,2,097,0,2,0,0
1997,3G4D,2,4,261,0,0,1,0
1997,3G4D,2,7,316,1,0,0,0
1997,3G4D,3,7,316,1,0,0,0
1997,3G4D,3,5,833,1,4,0,0
1997,3G4D,3,4,261,0,1,2,0
1997,3G4D,3,9,375,1,1,0,0
1997,3G4D,3,1,129,6,0,0,0
1997,3G4D,4,8,371,3,1,0,0
1997,3G4D,4,5,833,0,2,0,0
1997,3G4D,4,9,375,2,0,0,0
1997,3G4D,4,4,261,0,2,1,0
1997,3G4D,4,7,316,2,0,0,0
1997,3G4D,4,2,097,0,1,0,0
1997,3G4D,4,1,129,32,0,0,0
1997,4F1B,1,1,129,0,0,1,0
1997,4F1B,1,6,802,0,0,1,0
1997,4F1B,2,1,129,1,0,0,0
1997,4F1B,2,7,316,1,0,0,0
1997,4F1B,3,7,316,14,1,0,0
1997,4F1B,3,1,129,6,0,0,0
1997,4F1B,4,7,316,3,0,0,0
1997,4F1B,4,1,129,2,0,0,0
1997,4F1A,2,1,129,0,1,0,0
1997,4F1A,2,6,802,0,0,2,0
1997,4F1A,2,7,316,1,0,0,0
1997,4F1A,3,5,833,0,1,0,0
1997,4F1A,3,1,129,2,0,0,0
1997,4F3A,2,1,129,0,0,1,0
1997,4F3A,2,7,316,1,0,0,0
1997,4F3A,3,1,129,2,0,2,0
1997,4F3A,3,5,833,0,1,0,0
1997,4F3A,4,7,316,2,0,0,0
1997,4F3A,4,5,833,0,1,0,0
1997,4F3A,4,1,129,2,0,0,0
1997,4F4A,1,7,316,0,1,0,0
1997,4F4A,3,7,316,2,0,0,0
1997,4F4A,3,1,129,1,0,0,0
1997,4F4A,4,7,316,0,1,0,0
1997,4F2A,1,5,833,0,1,0,0
1997,4F2A,3,5,833,0,1,0,0
1997,4F2A,3,1,129,5,2,0,0
1997,4F2A,4,1,129,0,1,0,0
1997,4F2A,4,7,316,1,1,0,0
1997,4F2C,2,1,129,1,1,0,0
1997,4F2C,3,6,802,0,1,0,0
1997,4F2C,3,1,129,3,0,0,0
1997,5E3B,1,1,129,1,0,0,0
1997,5E3B,1,3,012,0,3,10,0
1997,5E3B,1,3.1,012,0,1,0,0
1997,5E3B,2,1,129,4,0,0,0
1997,5E3B,2,3,012,0,0,1,0
1997,5E3B,2,5,833,0,1,0,0
1997,5E3B,3,1,129,18,5,3,0
1997,5E3B,3,5,833,0,2,0,0
1997,5E3B,3,3,012,0,2,0,0
1997,5E3B,3,8,371,0,2,4,0
1997,5E3B,3,2,097,0,3,0,0
1997,5E3B,3,7,316,6,1,0,0
1997,5E3B,4,1,129,26,3,0,0
1997,5E3B,4,2,097,0,1,0,0
1997,5E3B,4,7,316,1,2,0,0
1997,5E3B,4,8,371,0,4,1,0
1997,5E3F,1,2,097,0,0,1,0
1997,5E3F,1,7,316,1,0,0,0
1997,5E3F,1,3,012,0,0,1,0
1997,5E3F,1,1,129,17,1,0,0
1997,5E3F,2,5,833,0,1,0,0
1997,5E3F,2,7,316,3,0,0,0
1997,5E3F,2,1,129,17,1,1,0
1997,5E3F,3,3,012,0,1,0,0
1997,5E3F,3,4,261,0,2,0,0
1997,5E3F,3,9,375,0,6,0,0
1997,5E3F,3,8,371,0,3,0,0
1997,5E3F,3,2,097,0,1,0,0
1997,5E3F,3,7,316,1,1,0,0
1997,5E3F,3,1,129,15,2,0,0
1997,5E3F,4,9,375,0,1,3,0
1997,5E3F,4,3,012,0,2,1,0
1997,5E3F,4,8,371,0,2,4,0
1997,5E3F,4,6,802,0,1,2,0
1997,5E3F,4,5,833,0,1,0,0
1997,5E3F,4,14,743,0,1,0,0
1997,5E3F,4,1,129,21,0,0,0
1997,5E1D,1,7,316,1,1,0,0
1997,5E1D,1,8,371,0,2,4,0
1997,5E1D,1,1,129,7,0,0,0
1997,5E1D,2,7,316,0,6,0,0
1997,5E1D,2,9,375,0,0,1,0
1997,5E1D,2,8,371,0,3,1,0
